Your age,Male/Female,Body Weight,Daily Water Intake,Physical Activity,Weather Condition 
21,Male,53,2.0 – 2.5 L,Medium (1–3 days/week),Hot
21,Male,50,1.0 – 1.5 L,Low (little or no exercise),Hot
20,Male,71,2.0 – 2.5 L,Medium (1–3 days/week),Normal
20,Female,50,More than 2.5 L,Medium (1–3 days/week),Normal
20,Female,68,More than 2.5 L,Low (little or no exercise),Cold
20,Male,60.01,1.5 – 2.0 L,Medium (1–3 days/week),
19,Female,42,1.5 – 2.0 L,High (4+ days/week),Hot
20,Female,59,Less than 1.0 L,Medium (1–3 days/week),Normal
21,Male,65,More than 2.5 L,Medium (1–3 days/week),Hot
20,Male,70,2.0 – 2.5 L,Low (little or no exercise),Cold
20,Female,40,1.0 – 1.5 L,Low (little or no exercise),Hot
21,Male,84,Less than 1.0 L,Low (little or no exercise),Cold
21,Male,84,Less than 1.0 L,Low (little or no exercise),Cold
18,Male,56,1.5 – 2.0 L,Low (little or no exercise),Cold
20,Male,54,1.0 – 1.5 L,High (4+ days/week),Normal
18,Female,55,1.0 – 1.5 L,Medium (1–3 days/week),Hot
18,Female,42,1.5 – 2.0 L,Medium (1–3 days/week),Hot
20,Male,58,More than 2.5 L,Medium (1–3 days/week),Normal
22,Female,49,2.0 – 2.5 L,Medium (1–3 days/week),Normal
21,Male,67,More than 2.5 L,Medium (1–3 days/week),Hot
21,Male,68,1.5 – 2.0 L,Medium (1–3 days/week),Normal
20,Female,45,1.0 – 1.5 L,Low (little or no exercise),Hot
18,Female,46,2.0 – 2.5 L,Low (little or no exercise),Hot
19,Female,49,1.5 – 2.0 L,Medium (1–3 days/week),Hot
20,Female,65,2.0 – 2.5 L,Medium (1–3 days/week),Hot
20,Female,48,2.0 – 2.5 L,Low (little or no exercise),Hot
20,Female,44,2.0 – 2.5 L,Low (little or no exercise),Hot
19,Female,40,1.5 – 2.0 L,Medium (1–3 days/week),Hot
21,Female,43,2.0 – 2.5 L,Medium (1–3 days/week),Hot
22,Male,70,More than 2.5 L,High (4+ days/week),Hot
18,Male,54,More than 2.5 L,High (4+ days/week),Hot
18,Female,50,1.5 – 2.0 L,Low (little or no exercise),Normal
20,Female,53,1.5 – 2.0 L,Low (little or no exercise),Hot
19,Female,60,More than 2.5 L,Low (little or no exercise),Hot
21,Male,50,More than 2.5 L,Medium (1–3 days/week),Hot
21,Female,40,2.0 – 2.5 L,Low (little or no exercise),Hot
20,Male,56,2.0 – 2.5 L,Medium (1–3 days/week),Hot
24,Male,55,More than 2.5 L,High (4+ days/week),Normal
18,Male,54,2.0 – 2.5 L,Medium (1–3 days/week),Normal
20,Male,66,2.0 – 2.5 L,Low (little or no exercise),Normal
20,Male,55,More than 2.5 L,Medium (1–3 days/week),Normal
22,Male,60,More than 2.5 L,Low (little or no exercise),Hot
21,Male,45,Less than 1.0 L,Medium (1–3 days/week),Hot
18,Female,48,2.0 – 2.5 L,High (4+ days/week),Normal
23,Male,99,1.5 – 2.0 L,Medium (1–3 days/week),Normal
